case_id,title,topology,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,ai_diagnosis,ai_confidence,human_review,review_notes
1,Wrong IP Address,Basic LAN,PC1 cannot ping PC2,PC1 and PC2 are connected to the same switch. PC2 uses 192.168.1.20/24. PC1 is intentionally configured with an IP from a different network.,PC1 ipconfig: IP Address: 192.168.2.10 Subnet Mask: 255.255.255.0 Default Gateway: 0.0.0.0,PC1 has an incorrect IP address and is in a different network from PC2.,Layer 3,IP Addressing,Medium,,,,
2,Wrong Subnet Mask,Two LANs connected by Router,PC1 cannot ping PC2,PC1 is in the 192.168.1.0/24 network and PC2 is in the 192.168.2.0/24 network. The router connects both networks. PC1 is intentionally configured with an incorrect subnet mask.,PC1 ipconfig: IP Address: 192.168.1.10 Subnet Mask: 255.255.0.0 Default Gateway: 192.168.1.1,PC1 has an incorrect subnet mask. The correct subnet mask is 255.255.255.0.,Layer 3,Subnet Mask,Medium,,,,
3,Wrong Default Gateway,Two LANs connected by Router,PC1 cannot reach PC2,PC1 is connected to the 192.168.1.0/24 network. PC2 is connected to the 192.168.2.0/24 network. Router G0/0 is 192.168.1.1 and G0/1 is 192.168.2.1. PC1 is intentionally configured with the wrong default gateway.,PC1 ipconfig: IP Address: 192.168.1.10 Subnet Mask: 255.255.255.0 Default Gateway: 192.168.2.1,PC1 ipconfig: IP Address: 192.168.1.10 Subnet Mask: 255.255.255.0 Default Gateway: 192.168.2.1,Layer 3,Default Gateway,Medium,,,,
4,Interface ShutdownTwo LANs connected by Router,,PC1 cannot reach PC2,PC1 is connected to the 192.168.1.0/24 network and PC2 is connected to the 192.168.2.0/24 network. Router G0/0 connects to PC1's network and G0/1 connects to PC2's network. G0/1 is intentionally shut down.,Router show ip interface brief: GigabitEthernet0/0 192.168.1.1 up GigabitEthernet0/1 192.168.2.1 administratively down,GigabitEthernet0/1 is administratively down.,Layer 1/2,Interface Status,High,,,,
5,Missing VLAN,Two PCs connected to one switch,PC1 cannot communicate as expected with its assigned network.,PC1 is connected to FastEthernet0/1 and should belong to VLAN 10. PC2 is connected to FastEthernet0/2 and belongs to VLAN 20. VLAN 10 was intentionally removed from the switch configuration.,VLAN 10 is missing. show running-config interface fastEthernet 0/1: The interface is configured for access VLAN 10.,VLAN 10 is missing from the switch configuration.,Layer 2,VLAN,High,,,,
6,Wrong Access VLAN,Two PCs connected to one switch,PC1 is unable to communicate with devices in its expected VLAN.,"PC1 is connected to FastEthernet0/1 and should belong to VLAN 10. PC2 is connected to FastEthernet0/2 and belongs to VLAN 20. Both VLANs exist, but PC1's switch port is intentionally assigned to VLAN 20.",VLAN 10 = STAFF VLAN 20 = STUDENTS Fa0/1 appears under VLAN 20 instead of VLAN 10. show running-config interface fastEthernet 0/1: switchport mode access switchport access vlan 20,FastEthernet0/1 is assigned to the wrong access VLAN. It should be assigned to VLAN 10.,Layer 2,VLAN,Medium,,,,
7,Trunk Configuration Problem,Two switches connected with PCs in VLAN 10,PC1 cannot communicate with PC2 even though both PCs are configured in VLAN 10.,PC1 is connected to Switch1 and PC2 is connected to Switch2. Both PCs belong to VLAN 10. Switch1 and Switch2 are connected through FastEthernet0/24. The link is intentionally configured as an access port instead of a trunk.,Switch1 show interfaces trunk: Fa0/24 is not listed as an active trunk. Switch1 show interfaces fastEthernet 0/24 switchport: Administrative Mode: static access,The Switch1-to-Switch2 link is not configured as a trunk. It should use switchport mode trunk.,Layer 2,VLAN Trunking,High,,,,
8,VLAN Allowed List Mismatch,Two switches connected by a trunk with PCs in VLAN 10,PC1 cannot communicate with PC2 even though both PCs belong to VLAN 10 and the switch-to-switch link is a trunk.,"PC1 is connected to Switch1 and PC2 is connected to Switch2. Both PCs belong to VLAN 10. The switch-to-switch link uses FastEthernet0/24 as a trunk. Switch1 allows VLAN 10 on the trunk, while Switch2 is intentionally configured to allow VLAN 20 instead.",Switch1 show interfaces trunk: VLAN 10 is allowed on Fa0/24. Switch2 show interfaces trunk: VLAN 20 is allowed on Fa0/24 and VLAN 10 is not allowed.,The allowed VLAN configuration is mismatched between the two trunk interfaces. VLAN 10 must be allowed on both sides.,Layer 2,VLAN Trunking,High,,,,
9,Missing Inter-VLAN Subinterface,Two VLANs connected to one switch and one router,PC1 in VLAN 10 cannot communicate with PC2 in VLAN 20.,"PC1 belongs to VLAN 10 with IP 192.168.10.10. PC2 belongs to VLAN 20 with IP 192.168.20.10. The switch-to-router link is a trunk. Router subinterface G0/0.10 exists, but G0/0.20 is intentionally removed.",show ip interface brief: GigabitEthernet0/0.10 = 192.168.10.1 GigabitEthernet0/0.20 is missing. show running-config: G0/0.10 configuration exists. G0/0.20 configuration is absent.,The router is missing the G0/0.20 subinterface required for VLAN 20.,Layer 3,Inter-VLAN Routing,High,,,,
11,Wrong VLAN Encapsulation,Two VLANs connected to one switch and one router using router-on-a-stick,PC1 in VLAN 10 cannot communicate with PC2 in VLAN 20.,"PC1 belongs to VLAN 10 and PC2 belongs to VLAN 20. The switch-to-router link is a trunk. Router subinterface G0/0.20 should handle VLAN 20, but its 802.1Q encapsulation is intentionally configured for VLAN 30.",show running-config: interface GigabitEthernet0/0.20 encapsulation dot1Q 30 ip address 192.168.20.1 255.255.255.0 expected_fault: G0/0.20 has the wrong 802.1Q VLAN ID. It should use encapsulation dot1Q 20.,,Layer 2/3,Inter-VLAN Routing / 802.1Q Encapsulation,High,,,,
